日期,商品类别,商品名称,单价(元),销量,销售额(元),区域,销售人员
2024-01-05,电子产品,蓝牙耳机,199.00,45,8955.00,华北,张三
2024-01-12,电子产品,蓝牙耳机,199.00,52,10348.00,华北,张三
2024-01-08,电子产品,充电宝,89.00,78,6942.00,华东,李四
2024-01-15,电子产品,充电宝,89.00,85,7565.00,华东,李四
2024-01-10,办公用品,A4复印纸,25.00,200,5000.00,华南,王五
2024-01-18,办公用品,A4复印纸,25.00,230,5750.00,华南,王五
2024-01-06,电子产品,USB-C数据线,29.90,120,3588.00,华北,张三
2024-01-14,电子产品,USB-C数据线,29.90,135,4036.50,华北,张三
2024-01-09,办公用品,文件夹,12.50,95,1187.50,华东,李四
2024-01-17,办公用品,文件夹,12.50,110,1375.00,华东,李四
2024-01-11,电子产品,无线鼠标,79.00,38,3002.00,华南,王五
2024-01-20,电子产品,无线鼠标,79.00,42,3318.00,华南,王五
2024-01-13,办公用品,订书机,35.00,56,1960.00,华北,张三
2024-01-22,办公用品,订书机,35.00,62,2170.00,华北,张三
2024-01-16,电子产品,机械键盘,299.00,18,5382.00,华东,李四
2024-01-25,电子产品,机械键盘,299.00,22,6578.00,华东,李四
2024-02-03,电子产品,蓝牙耳机,199.00,48,9552.00,华北,张三
2024-02-10,电子产品,充电宝,89.00,92,8188.00,华东,李四
2024-02-07,办公用品,A4复印纸,25.00,215,5375.00,华南,王五
2024-02-15,电子产品,USB-C数据线,29.90,140,4186.00,华北,张三
2024-02-12,办公用品,文件夹,12.50,105,1312.50,华东,李四
2024-02-18,电子产品,无线鼠标,79.00,45,3555.00,华南,王五
2024-02-20,办公用品,订书机,35.00,58,2030.00,华北,张三
2024-02-22,电子产品,机械键盘,299.00,20,5980.00,华东,李四
2024-02-05,电子产品,手机支架,49.00,88,4312.00,华南,王五
2024-02-14,电子产品,手机支架,49.00,95,4655.00,华南,王五
2024-03-02,电子产品,蓝牙耳机,199.00,55,10945.00,华北,张三
2024-03-08,电子产品,充电宝,89.00,88,7832.00,华东,李四
2024-03-05,办公用品,A4复印纸,25.00,240,6000.00,华南,王五
2024-03-12,电子产品,USB-C数据线,29.90,150,4485.00,华北,张三
